"","feature","frequency"
"432","needs",91
"433","series",91
"434","recently",91
"435","seems",91
"436","john",91
"437","nice",91
"438","guys",91
"439","support",91
"440","woman",90
"441","full",90
"442","tomorrow",90
"443","didn’t",90
"444","late",90
"445","hand",89
"446","given",89
"447","fans",89
"448","turn",89
"449","needed",88
"450","heart",88
"451","process",88
"452","weeks",88
"453","important",88
"454","history",87
"455","church",87
"456","building",87
"457","twitter",87
"458","move",87
"459","red",87
"460","sunday",87
"461","south",87
"462","fire",87
"463","instead",86
"464","ready",86
"465","chance",86
"466","points",86
"467","isn't",86
"468","art",86
"469","deal",86
"470","event",85
"471","knew",85
"472","gave",85
"473","movie",85
"474","death",85
"475","third",85
"476","sometimes",85
"477","whether",85
"478","york",84
"479","april",84
"480","mother",84
"481","bill",84
"482","matter",84
"483","short",83
"484","reason",83
"485","system",83
"486","officials",83
"487","easy",82
"488","favorite",82
"489","i’ve",81
"490","monday",81
"491","saying",81
"492","girl",81
"493","thinking",81
"494","problem",81
"495","perfect",81
"496","phone",80
"497","share",80
"498","mind",80
"499","online",80
"500","true",80
"501","district",80
"502","federal",79
"503","men",79
"504","himself",79
"505","special",79
"506","question",79
"507","lost",79
"508","that’s",78
"509","mom",78
"510","especially",78
"511","looks",78
"512","running",78
"513","spring",78
"514","cool",77
"515","sweet",77
"516","hey",77
"517","board",77
"518","major",77
"519","w",77
"520","played",76
"521","decided",76
"522","sense",76
"523","within",76
"524","club",76
"525","door",76
"526","reading",76
"527","fall",76
"528","social",76
"529","cost",76
"530","means",75
"531","following",75
"532","order",75
"533","players",75
"534","goes",75
"535","among",75
"536","words",74
"537","behind",74
"538","heard",74
"539","hot",74
"540","forward",74
"541","field",74
"542","lives",74
"543","front",74
"544","mr",74
"545","cut",74
"546","birthday",74
"547","states",74
"548","d",74
"549","west",74
"550","spent",73
"551","feeling",73
"552","felt",73
"553","market",73
"554","department",73
"555","across",73
"556","schools",73
"557","coach",73
"558","father",72
"559","beautiful",72
"560","wednesday",72
"561","wrong",72
"562","experience",72
"563","stuff",72
"564","project",72
"565","general",72
"566","word",72
"567","near",72
"568","amazing",71
"569","beer",71
"570","can’t",71
"571","tv",71
"572","although",71
"573","store",71
"574","wasn't",71
"575","simple",71
"576","six",71
"577","meet",71
"578","body",71
"579","include",71
"580","stay",71
"581","film",71
"582","moment",70
"583","picture",70
"584","single",70
"585","books",70
"586","lead",70
"587","town",70
"588","watching",70
"589","buy",70
"590","seeing",70
"591","wish",70
"592","clear",69
"593","enjoy",69
"594","i'd",69
"595","miss",69
"596","future",69
"597","talking",69
"598","director",69
"599","hear",68
"600","race",68
"601","tuesday",68
"602","possible",68
"603","campaign",68
"604","living",67
"605","visit",67
"606","political",67
"607","worked",67
"608","video",67
"609","above",66
"610","turned",66
"611","pick",66
"612","write",66
"613","brown",66
"614","they're",66
"615","taken",65
"616","green",65
"617","meeting",65
"618","ask",65
"619","tried",65
"620","walk",65
"621","plans",65
"622","piece",64
"623","record",64
"624","human",64
"625","march",64
"626","shows",64
"627","inside",63
"628","air",63
"629","per",63
"630","america",63
"631","awesome",63
"632","what's",63
"633","provide",62
"634","child",62
"635","loved",62
"636","eat",62
"637","takes",62
"638","huge",62
"639","won't",62
"640","companies",62
"641","final",62
"642","large",62
"643","works",62
"644","thursday",62
"645","looked",61
"646","trip",61
"647","gone",61
"648","excited",61
"649","longer",61
"650","report",61
"651","space",61
"652","drive",61
"653","middle",61
"654","billion",61
"655","moved",61
"656","age",61
"657","north",61
"658","student",61
"659","chicago",61
"660","rate",61
"661","paul",61
"662","hold",61
"663","simply",61
"664","energy",61
"665","united",61
"666","earlier",61
"667","based",60
"668","held",60
"669","usually",60
"670","success",60
"671","son",60
"672","began",60
"673","writing",60
"674","break",60
"675","obama",60
"676","paper",60
"677","card",60
"678","themselves",60
"679","won",60
"680","starting",60
"681","example",60
"682","hour",60
"683","ok",60
"684","san",60
"685","likely",60
"686","scene",60
"687","level",60
"688","sent",60
"689","kept",59
"690","spend",59
"691","became",59
"692","site",59
"693","understand",59
"694","control",59
"695","cause",59
"696","tax",59
"697","media",59
"698","gets",58
"699","sleep",58
"700","available",58
"701","baby",58
"702","nearly",58
"703","entire",58
"704","written",58
"705","girls",58
"706","message",58
"707","eyes",58
"708","issues",58
"709","ones",58
"710","education",58
"711","send",57
"712","goal",57
"713","brother",57
"714","difficult",57
"715","ways",57
"716","act",57
"717","hate",57
"718","miles",57
"719","gonna",57
"720","key",57
"721","june",57
"722","seem",56
"723","sorry",56
"724","yourself",56
"725","stories",56
"726","guess",56
"727","continue",56
"728","bar",56
"729","strong",56
"730","stand",56
"731","services",56
"732","property",56
"733","biggest",56
"734","price",56
"735","boys",56
"736","career",56
"737","wear",55
"738","moving",55
"739","bought",55
"740","similar",55
"741","boy",55
"742","jobs",55
"743","sign",55
"744","decision",55
"745","budget",55
"746","itself",55
"747","im",55
"748","security",55
"749","died",55
"750","action",55
"751","portland",55
"752","ohio",55
"753","super",54
"754","original",54
"755","amount",54
"756","form",54
"757","focus",54
"758","challenge",54
"759","blue",54
"760","sales",54
"761","haha",54
"762","development",54
"763","recent",54
"764","expected",54
"765","shot",54
"766","track",54
"767","industry",54
"768","yeah",54
"769","marriage",54
"770","serious",53
"771","definitely",53
"772","older",53
"773","dark",53
"774","song",53
"775","learning",53
"776","wants",53
"777","oil",53
"778","evidence",53
"779","happened",53
"780","executive",53
"781","photo",52
"782","created",52
"783","dinner",52
"784","training",52
"785","gives",52
"786","rose",52
"787","member",52
"788","ball",52
"789","hospital",52
"790","conference",52
"791","workers",52
"792","senior",52
"793","cold",51
"794","received",51
"795","return",51
"796","wife",51
"797","christmas",51
"798","we've",51
"799","answer",51
"800","serve",51
"801","beat",51
"802","added",51
"803","questions",51
"804","expect",51
"805","welcome",51
"806","issue",51
"807","learn",51
"808","medical",51
"809","king",51
"810","david",51
"811","personal",51
"812","sound",50
"813","league",50
"814","website",50
"815","costs",50
"816","events",50
"817","test",50
"818","crazy",50
"819","lose",50
"820","b",50
"821","chief",50
"822","fight",50
"823","seriously",50
"824","worth",50
"825","speak",50
"826","dog",50
"827","jersey",50
"828","fresh",49
"829","sun",49
"830","throughout",49
"831","places",49
"832","lunch",49
"833","officer",49
"834","east",49
"835","create",49
"836","involved",49
"837","perhaps",49
"838","husband",49
"839","knows",49
"840","coffee",49
"841","bank",49
"842","hotel",49
"843","charged",49
"844","wall",49
"845","manager",49
"846","lots",49
"847","fan",49
"848","position",49
"849","fell",49
"850","cards",49
"851","reported",49
"852","cleveland",49
"853","loss",48
"854","offer",48
"855","box",48
"856","mix",48
"857","interesting",48
"858","private",48
"859","let's",48
"860","finished",48
"861","latest",48
"862","complete",48
"863","research",48
"864","stage",48
"865","dr",48
"866","wonder",48
"867","practice",48
"868","reality",48
"869","learned",48
"870","quarter",48
"871","passed",48
"872","james",48
"873","wonderful",47
"874","due",47
"875","upon",47
"876","paid",47
"877","busy",47
"878","alone",47
"879","bed",47
"880","via",47
"881","higher",47
"882","c",47
"883","wrote",47
"884","data",47
"885","goals",47
"886","financial",47
"887","ground",47
"888","release",47
"889","feet",47
"890","benefits",47
"891","cases",47
"892","increase",46
"893","performance",46
"894","beginning",46
"895","you’re",46
"896","quality",46
"897","leaving",46
"898","successful",46
"899","cup",46
"900","ended",46
"901","link",46
"902","extra",46
"903","fit",46
"904","problems",46
"905","study",46
"906","washington",46
"907","clean",46
"908","view",46
"909","met",46
"910","gift",46
"911","whatever",45
"912","page",45
"913","character",45
"914","audience",45
"915","dead",45
"916","previous",45
"917","table",45
"918","etc",45
"919","cover",45
"920","evening",45
"921","total",45
"922","led",45
"923","driving",45
"924","truth",45
"925","overall",45
"926","july",45
"927","despite",45
"928","daughter",45
"929","putting",45
"930","further",45
"931","mark",45
"932","rock",45
"933","council",45
"934","quick",44
"935","press",44
"936","leading",44
"937","beyond",44
"938","low",44
"939","sit",44
"940","whose",44
"941","collection",44
"942","relationship",44
"943","holiday",44
"944","cannot",44
"945","credit",44
"946","rights",44
"947","interest",44
"948","allowed",44
"949","tour",44
"950","certain",44
"951","library",44
"952","groups",44
"953","allow",43
"954","afternoon",43
"955","listen",43
"956","war",43
"957","note",43
"958","fine",43
"959","certainly",43
"960","step",43
"961","helped",43
"962","followed",43
"963","killed",43
"964","fear",43
"965","eight",43
"966","characters",43
"967","opening",43
"968","terms",43
"969","creative",43
"970","hair",43
"971","opportunity",43
"972","dream",43
"973","romney",43
"974","lake",43
"975","drug",43
"976","teams",43
"977","association",43
"978","tweet",43
"979","yesterday",42
"980","brought",42
"981","drink",42
"982","teachers",42
"983","mention",42
"984","particularly",42
"985","happen",42
"986","giving",42
"987","sad",42
"988","artist",42
"989","wearing",42
"990","safe",42
"991","block",42
"992","hall",42
"993","funny",42
"994","committee",42
"995","changes",42
"996","republican",42
"997","interested",42
"998","he’s",42
"999","statement",42
"1000","runs",42
"1001","parking",42
"1002","nine",42
"1003","mike",42
"1004","none",41
"1005","ideas",41
"1006","sale",41
"1007","forever",41
"1008","she's",41
"1009","facebook",41
"1010","title",41
"1011","popular",41
"1012","present",41
"1013","wow",41
"1014","plant",41
"1015","round",41
"1016","anyway",41
"1017","doesn’t",41
"1018","california",41
"1019","election",41
"1020","figure",41
"1021","spot",41
"1022","date",41
"1023","rain",41
"1024","luck",41
"1025","haven't",41
"1026","trial",41
"1027","staff",41
"1028","plenty",41
"1029","fast",41
"1030","build",40
"1031","email",40
"1032","completely",40
"1033","movies",40
"1034","review",40
"1035","firm",40
"1036","items",40
"1037","interview",40
"1038","damn",40
"1039","weather",40
"1040","required",40
"1041","e",40
"1042","forget",40
"1043","wasn’t",40
"1044","style",40
"1045","followers",40
"1046","leader",40
"1047","ice",40
"1048","main",40
"1049","shop",40
"1050","bottom",40
"1051","truly",40
"1052","cities",40
"1053","finding",40
"1054","stopped",40
"1055","ability",40
"1056","feels",40
"1057","begin",40
"1058","considered",40
"1059","weight",40
"1060","ahead",40
"1061","downtown",40
"1062","contact",40
"1063","products",40
"1064","potential",40
"1065","quickly",40
"1066","band",39
"1067","join",39
"1068","taste",39
"1069","served",39
"1070","below",39
"1071","details",39
"1072","fourth",39
"1073","clothes",39
"1074","photos",39
"1075","williams",39
"1076","beach",39
"1077","couldn't",39
"1078","imagine",39
"1079","player",39
"1080","dad",39
"1081","consider",39
"1082","term",39
"1083","land",39
"1084","lord",39
"1085","leaders",39
"1086","okay",39
"1087","language",39
"1088","account",39
"1089","society",39
"1090","seven",39
"1091","conversation",39
"1092","winter",39
"1093","starts",39
"1094","valley",39
"1095","faith",38
"1096","offered",38
"1097","eye",38
"1098","trouble",38
"1099","parts",38
"1100","design",38
"1101","cake",38
"1102","officers",38
"1103","force",38
"1104","shooting",38
"1105","residents",38
"1106","attention",38
"1107","families",38
"1108","voice",38
"1109","released",38
"1110","reach",38
"1111","heat",38
"1112","pictures",38
"1113","gold",38
"1114","employees",38
"1115","color",38
"1116","projects",38
"1117","o",38
"1118","warm",38
"1119","hands",38
"1120","appeared",38
"1121","vote",38
"1122","prices",38
"1123","defense",38
"1124","crime",38
"1125","natural",38
"1126","international",38
"1127","choose",38
"1128","prison",38
"1129","mostly",38
"1130","mine",38
"1131","planning",38
